nameWithOwner,stars,language,createdAt,branchName
v2ray/v2ray-core,42387,Go,2015-09-04T11:42:53Z,master
babel/babel,42222,TypeScript,2014-09-28T13:38:23Z,main
gogs/gogs,42084,Go,2014-02-12T01:57:08Z,main
jestjs/jest,41940,TypeScript,2013-12-10T00:18:04Z,main
rustdesk/rustdesk,41600,Rust,2020-09-28T15:36:08Z,master
base-org/node,41520,Shell,2023-02-01T13:55:02Z,main
square/retrofit,41505,Java,2010-09-06T21:39:43Z,master
mastodon/mastodon,41492,Ruby,2016-02-22T15:01:25Z,main
sharkdp/bat,41117,Rust,2018-04-21T10:52:23Z,master
typescript-cheatsheets/react,40802,JavaScript,2018-06-02T04:08:16Z,main
FiloSottile/mkcert,40793,Go,2018-06-25T05:33:03Z,master
jgraph/drawio-desktop,40136,Shell,2017-05-25T20:58:42Z,master
bailicangdu/vue2-elm,40024,Vue,2016-12-23T01:49:20Z,master
chinese-poetry/chinese-poetry,39470,JavaScript,2016-09-02T03:32:25Z,master
Alamofire/Alamofire,39321,Swift,2014-07-31T05:56:19Z,master
commaai/openpilot,39285,Python,2016-11-24T01:33:30Z,master
apache/dubbo,38857,Java,2012-06-19T07:56:02Z,master
styled-components/styled-components,38782,TypeScript,2016-08-16T06:41:32Z,main
rclone/rclone,38373,Go,2014-03-16T16:19:57Z,master
pingcap/tidb,34007,Go,2015-09-06T04:01:52Z,master
open-guides/og-aws,33896,Shell,2016-07-13T17:30:16Z,master
airbnb/lottie-android,33870,Java,2016-10-06T22:42:42Z,master
type-challenges/type-challenges,33556,TypeScript,2020-07-23T14:33:11Z,main
nativefier/nativefier,33534,TypeScript,2015-07-05T05:56:42Z,master
AFNetworking/AFNetworking,33344,Objective-C,2011-05-31T21:28:44Z,master
NervJS/taro,32870,TypeScript,2018-04-08T09:32:26Z,master
SheetJS/sheetjs,32810,JavaScript,2012-12-03T19:25:52Z,master
binary-husky/gpt_academic,32659,Python,2023-03-20T09:05:13Z,master
chakra-ui/chakra-ui,32601,TypeScript,2019-08-17T14:27:54Z,main
jaredpalmer/formik,32313,TypeScript,2017-06-14T19:50:59Z,master
QSCTech/zju-icicles,32236,HTML,2016-06-28T16:17:32Z,master
Blankj/AndroidUtilCode,32121,Java,2016-07-30T18:18:32Z,master
koalaman/shellcheck,32065,Haskell,2012-11-17T03:15:11Z,master
dbeaver/dbeaver,31913,Java,2015-10-21T08:26:28Z,master
dotnet/aspnetcore,31656,C#,2014-03-11T06:09:42Z,main
acmesh-official/acme.sh,31461,Shell,2015-12-26T12:56:33Z,master
shadowsocks/ShadowsocksX-NG,31428,Swift,2016-06-10T11:49:00Z,master
freeCodeCamp/devdocs,31417,Ruby,2013-10-24T18:16:07Z,main
openai/gym,31318,Python,2016-04-27T14:59:16Z,master
prisma/prisma,31223,TypeScript,2019-06-20T13:33:47Z,main
blueimp/jQuery-File-Upload,31029,PHP,2010-12-01T15:35:32Z,master
mitmproxy/mitmproxy,30947,Python,2010-02-16T04:10:13Z,main
sorrycc/awesome-javascript,30642,Unknown,2014-07-01T15:59:02Z,master
carbon-language/carbon-lang,30392,C++,2020-04-27T21:45:16Z,master
naptha/tesseract.js,30338,JavaScript,2015-06-24T02:49:52Z,master
aria2/aria2,30260,C++,2010-11-27T09:41:48Z,master
Z4nzu/hackingtool,30183,Python,2020-04-11T09:21:31Z,master
n8n-io/n8n,30092,TypeScript,2019-06-22T09:24:21Z,master
curl/curl,30004,C,2010-03-18T22:32:22Z,master
certbot/certbot,29896,Python,2014-11-12T02:52:20Z,master