nameWithOwner,stars,language,createdAt,branchNameaterial-ui
freeCodeCamp/freeCodeCamp,365706,TypeScript,2014-12-24T17:49:19Z,main
EbookFoundation/free-programming-books,278488,Unknown,2013-10-11T06:50:37Z,main
jwasham/coding-interview-university,256985,Unknown,2016-06-06T02:34:12Z,main
sindresorhus/awesome,252894,Unknown,2014-07-11T13:42:37Z,main
kamranahmedse/developer-roadmap,238965,Astro,2017-03-15T13:45:52Z,master
facebook/react,207122,JavaScript,2013-05-24T16:15:54Z,main
twbs/bootstrap,163377,JavaScript,2011-07-29T21:19:00Z,main
flutter/flutter,153080,Dart,2015-03-06T22:54:58Z,main
Snailclimb/JavaGuide,133462,Java,2018-05-07T13:27:00Z,main
Significant-Gravitas/Auto-GPT,127977,Python,2023-03-16T09:21:07Z,master
ytdl-org/youtube-dl,120149,Python,2010-10-31T14:35:07Z,master
vercel/next.js,105811,JavaScript,2016-10-05T23:32:51Z,main
d3/d3,105257,JavaScript,2010-09-27T17:22:42Z,main
avelino/awesome-go,101154,Go,2014-07-06T13:42:15Z,main
axios/axios,100089,JavaScript,2014-08-18T22:30:27Z,main
facebook/create-react-app,99692,JavaScript,2016-07-17T14:55:11Z,main
yangshun/tech-interview-handbook,90360,TypeScript,2016-07-05T05:00:48Z,main
denoland/deno,89300,Rust,2018-05-15T01:34:26Z,main
puppeteer/puppeteer,83078,TypeScript,2017-05-09T22:16:13Z,main
iluwatar/java-design-patterns,81699,Java,2014-08-09T16:45:18Z,master
storybookjs/storybook,78448,TypeScript,2016-03-18T04:23:44Z,main
gothinkster/realworld,74283,TypeScript,2016-02-26T20:49:53Z,main
django/django,70418,Python,2012-04-28T02:47:18Z,main
tonsky/FiraCode,69985,Clojure,2014-11-11T19:32:38Z,master
doocs/advanced-java,69900,Java,2018-10-06T11:38:30Z,main
vuejs/awesome-vue,68531,Unknown,2015-10-20T00:16:14Z,master
gin-gonic/gin,68482,Go,2014-06-16T23:57:25Z,master
tailwindlabs/tailwindcss,68057,HTML,2017-10-06T14:59:14Z,master
sveltejs/svelte,67505,TypeScript,2016-11-20T18:13:05Z,master
fatedier/frp,67244,Go,2015-12-21T15:24:59Z,master
spring-projects/spring-boot,67132,Java,2012-10-19T15:02:57Z,main
gohugoio/hugo,66979,Go,2013-07-04T15:26:26Z,master
moby/moby,65880,Go,2013-01-18T18:10:57Z,master
neovim/neovim,65689,Vim Script,2014-01-31T13:39:22Z,master
hakimel/reveal.js,63702,JavaScript,2011-06-07T18:54:22Z,master
tauri-apps/tauri,63267,Rust,2019-07-13T09:09:37Z,master
webpack/webpack,63043,JavaScript,2012-03-10T10:08:14Z,main
netdata/netdata,62912,C,2013-06-17T18:39:10Z,master
expressjs/express,60803,JavaScript,2009-06-26T18:56:01Z,master
coder/code-server,60264,TypeScript,2019-02-27T16:50:41Z,main
keras-team/keras,58268,Python,2015-03-28T00:35:42Z,master
jquery/jquery,57455,JavaScript,2009-04-03T15:20:14Z,main
mermaid-js/mermaid,57370,JavaScript,2014-11-01T23:52:32Z,master
h5bp/Front-end-Developer-Interview-Questions,57062,Nunjucks,2012-02-09T23:34:10Z,main
shadowsocks/shadowsocks-windows,56466,C#,2013-01-14T07:54:16Z,main
nestjs/nest,56458,TypeScript,2017-02-04T20:12:52Z,master
lodash/lodash,56276,JavaScript,2012-04-07T04:11:46Z,master
DopplerHQ/awesome-interview-questions,55154,Unknown,2015-11-28T09:48:17Z,master
apache/echarts,55102,TypeScript,2013-04-03T03:18:59Z,master
chrislgarry/Apollo-11,54774,Assembly,2014-04-03T15:45:02Z,master
gatsbyjs/gatsby,54412,JavaScript,2015-05-21T22:43:05Z,master
h5bp/html5-boilerplate,54381,JavaScript,2010-01-24T18:03:24Z,main
Anduin2017/HowToCook,53253,HTML,2020-02-29T10:43:49Z,master
rails/rails,52784,Ruby,2008-04-11T02:19:47Z,main
python/cpython,52575,Python,2017-02-10T19:23:51Z,main
junegunn/fzf,52061,Go,2013-10-23T16:04:23Z,master
spring-projects/spring-framework,51745,Java,2010-12-08T04:04:45Z,main
hoppscotch/hoppscotch,51336,TypeScript,2019-08-21T13:15:24Z,main
anuraghazra/github-readme-stats,54983,JavaScript,2020-07-09T10:34:22Z,master
Fndroid/clash_for_windows_pkg,53447,Unknown,2018-10-18T22:59:10Z,master
ElemeFE/element,53343,Vue,2016-09-03T06:19:26Z,master
azl397985856/leetcode,51156,JavaScript,2018-03-30T09:13:51Z,master
syncthing/syncthing,51087,Go,2013-11-26T09:48:21Z,main
MunGell/awesome-for-beginners,51045,Unknown,2015-10-24T19:53:36Z,main
microsoft/playwright,50387,TypeScript,2019-11-15T18:32:42Z,main
remix-run/react-router,50269,TypeScript,2014-05-16T22:22:51Z,main
supabase/supabase,49755,TypeScript,2019-10-12T05:56:49Z,master
psf/requests,49501,Python,2011-02-13T18:38:17Z,main
ionic-team/ionic-framework,49004,TypeScript,2013-08-20T23:06:02Z,main
ageitgey/face_recognition,48179,Python,2017-03-03T21:52:39Z,master
microsoft/ML-For-Beginners,48159,Jupyter Notebook,2021-03-03T01:34:05Z,main
prometheus/prometheus,48085,Go,2012-11-24T11:14:12Z,main
excalidraw/excalidraw,47814,TypeScript,2020-01-02T01:04:43Z,master
swisskyrepo/PayloadsAllTheThings,47559,Python,2016-10-18T07:29:07Z,master
obsproject/obs-studio,47490,C,2013-10-01T02:40:31Z,master
ocornut/imgui,47377,C++,2014-07-21T14:29:47Z,master
soimort/you-get,47308,Python,2012-08-20T15:53:36Z,master
caddyserver/caddy,47140,Go,2015-01-13T19:45:03Z,master
jgthms/bulma,47125,CSS,2016-01-23T23:48:34Z,master
localstack/localstack,47054,Python,2016-10-25T23:48:03Z,master
ReactiveX/RxJava,46993,Java,2013-01-08T20:11:48Z,master
jekyll/jekyll,46613,Ruby,2008-10-20T06:29:03Z,master
danielmiessler/SecLists,46447,PHP,2012-02-19T01:30:18Z,master
git/git,46158,C,2008-07-23T14:21:26Z,main
prettier/prettier,45531,JavaScript,2016-11-29T17:13:37Z,main
nuxt/nuxt,45189,TypeScript,2016-10-26T11:18:47Z,main
deepfakes/faceswap,44774,Python,2017-12-19T09:44:13Z,master
serverless/serverless,44704,JavaScript,2015-04-21T03:48:40Z,main
facebook/docusaurus,44456,TypeScript,2017-06-20T16:13:53Z,main
tldr-pages/tldr,44142,Markdown,2013-12-08T07:34:43Z,main
DefinitelyTyped/DefinitelyTyped,43925,TypeScript,2012-10-05T16:39:45Z,master
ryanoasis/nerd-fonts,43705,CSS,2014-12-05T04:31:17Z,master
meteor/meteor,43457,JavaScript,2012-01-19T01:58:17Z,master
etcd-io/etcd,43360,Go,2013-07-06T21:57:21Z,main
cypress-io/cypress,43335,JavaScript,2015-03-04T00:46:28Z,master
Textualize/rich,43195,Python,2019-11-10T15:28:09Z,master
iamkun/dayjs,43024,JavaScript,2018-04-10T09:26:44Z,main
traefik/traefik,42961,Go,2015-09-13T19:04:02Z,master
ColorlibHQ/AdminLTE,42473,JavaScript,2013-12-25T02:52:40Z,master
mozilla/pdf.js,42409,JavaScript,2011-04-26T06:32:03Z,master
v2ray/v2ray-core,42387,Go,2015-09-04T11:42:53Z,master
babel/babel,42222,TypeScript,2014-09-28T13:38:23Z,main
gogs/gogs,42084,Go,2014-02-12T01:57:08Z,main
jestjs/jest,41940,TypeScript,2013-12-10T00:18:04Z,main
rustdesk/rustdesk,41600,Rust,2020-09-28T15:36:08Z,master
base-org/node,41520,Shell,2023-02-01T13:55:02Z,main
square/retrofit,41505,Java,2010-09-06T21:39:43Z,master
mastodon/mastodon,41492,Ruby,2016-02-22T15:01:25Z,main
sharkdp/bat,41117,Rust,2018-04-21T10:52:23Z,master
typescript-cheatsheets/react,40802,JavaScript,2018-06-02T04:08:16Z,main
FiloSottile/mkcert,40793,Go,2018-06-25T05:33:03Z,master
jgraph/drawio-desktop,40136,Shell,2017-05-25T20:58:42Z,master
bailicangdu/vue2-elm,40024,Vue,2016-12-23T01:49:20Z,master
chinese-poetry/chinese-poetry,39470,JavaScript,2016-09-02T03:32:25Z,master
Alamofire/Alamofire,39321,Swift,2014-07-31T05:56:19Z,master
commaai/openpilot,39285,Python,2016-11-24T01:33:30Z,master
apache/dubbo,38857,Java,2012-06-19T07:56:02Z,master
styled-components/styled-components,38782,TypeScript,2016-08-16T06:41:32Z,main
rclone/rclone,38373,Go,2014-03-16T16:19:57Z,master
pingcap/tidb,34007,Go,2015-09-06T04:01:52Z,master
open-guides/og-aws,33896,Shell,2016-07-13T17:30:16Z,master
airbnb/lottie-android,33870,Java,2016-10-06T22:42:42Z,master
type-challenges/type-challenges,33556,TypeScript,2020-07-23T14:33:11Z,main
nativefier/nativefier,33534,TypeScript,2015-07-05T05:56:42Z,master
AFNetworking/AFNetworking,33344,Objective-C,2011-05-31T21:28:44Z,master
NervJS/taro,32870,TypeScript,2018-04-08T09:32:26Z,master
SheetJS/sheetjs,32810,JavaScript,2012-12-03T19:25:52Z,master
binary-husky/gpt_academic,32659,Python,2023-03-20T09:05:13Z,master
chakra-ui/chakra-ui,32601,TypeScript,2019-08-17T14:27:54Z,main
jaredpalmer/formik,32313,TypeScript,2017-06-14T19:50:59Z,master
QSCTech/zju-icicles,32236,HTML,2016-06-28T16:17:32Z,master
Blankj/AndroidUtilCode,32121,Java,2016-07-30T18:18:32Z,master
koalaman/shellcheck,32065,Haskell,2012-11-17T03:15:11Z,master
dbeaver/dbeaver,31913,Java,2015-10-21T08:26:28Z,master
dotnet/aspnetcore,31656,C#,2014-03-11T06:09:42Z,main
acmesh-official/acme.sh,31461,Shell,2015-12-26T12:56:33Z,master
shadowsocks/ShadowsocksX-NG,31428,Swift,2016-06-10T11:49:00Z,master
freeCodeCamp/devdocs,31417,Ruby,2013-10-24T18:16:07Z,main
openai/gym,31318,Python,2016-04-27T14:59:16Z,master
prisma/prisma,31223,TypeScript,2019-06-20T13:33:47Z,main
blueimp/jQuery-File-Upload,31029,PHP,2010-12-01T15:35:32Z,master
mitmproxy/mitmproxy,30947,Python,2010-02-16T04:10:13Z,main
sorrycc/awesome-javascript,30642,Unknown,2014-07-01T15:59:02Z,master
carbon-language/carbon-lang,30392,C++,2020-04-27T21:45:16Z,master
naptha/tesseract.js,30338,JavaScript,2015-06-24T02:49:52Z,master
aria2/aria2,30260,C++,2010-11-27T09:41:48Z,master
Z4nzu/hackingtool,30183,Python,2020-04-11T09:21:31Z,master
n8n-io/n8n,30092,TypeScript,2019-06-22T09:24:21Z,master
curl/curl,30004,C,2010-03-18T22:32:22Z,master
certbot/certbot,29896,Python,2014-11-12T02:52:20Z,master
beego/beego,29706,Go,2012-02-29T02:32:08Z,master
markedjs/marked,29670,JavaScript,2011-07-24T13:15:51Z,master
halfrost/LeetCode-Go,29626,Go,2017-07-18T00:06:14Z,master
foundation/foundation-sites,29463,HTML,2011-10-13T23:05:42Z,master
xkcoding/spring-boot-demo,29402,Java,2017-11-10T06:27:29Z,master
PKUFlyingPig/cs-self-learning,29283,HTML,2021-10-20T13:43:42Z,master
ReactiveX/rxjs,28842,TypeScript,2015-03-15T06:17:10Z,master
jgm/pandoc,28793,Haskell,2010-03-20T20:34:23Z,main
ziadoz/awesome-php,28610,Unknown,2013-11-26T03:14:19Z,master
TencentARC/GFPGAN,28536,Python,2021-03-19T06:18:20Z,master
square/leakcanary,28429,Kotlin,2015-04-29T23:54:16Z,main
standard/standard,28166,JavaScript,2015-01-27T01:23:31Z,master
niklasvh/html2canvas,28160,TypeScript,2011-07-16T01:05:58Z,master
apolloconfig/apollo,28034,Java,2016-03-04T10:24:23Z,master
vuejs/vuex,28018,JavaScript,2015-07-16T04:21:26Z,main
caolan/async,27853,JavaScript,2010-06-01T21:01:30Z,master
webtorrent/webtorrent,27844,JavaScript,2013-10-15T08:16:40Z,master
alibaba/easyexcel,27680,Java,2018-02-06T03:14:08Z,master
hashicorp/vault,27642,Go,2015-02-25T00:15:59Z,main
pcottle/learnGitBranching,27486,JavaScript,2012-08-13T22:36:09Z,main
files-community/Files,27405,C#,2019-01-04T18:19:14Z,main
sharkdp/fd,27366,Rust,2017-05-09T21:27:10Z,master
alebcay/awesome-shell,27328,Unknown,2014-07-07T01:57:42Z,master
swc-project/swc,27269,Rust,2017-12-22T11:40:14Z,main
fastify/fastify,27244,JavaScript,2016-09-28T19:10:14Z,main
halo-dev/halo,27160,Java,2018-03-21T12:56:52Z,main
trailofbits/algo,27229,Jinja,2016-05-15T03:42:48Z,master
zhongyang219/TrafficMonitor,27038,C++,2017-07-30T02:51:17Z,master
ianstormtaylor/slate,26995,TypeScript,2016-06-18T01:52:42Z,main
sqlmapproject/sqlmap,26934,Python,2012-06-26T09:52:15Z,master
alibaba/druid,26836,Java,2011-11-03T05:12:51Z,master
fzaninotto/Faker,26722,PHP,2011-10-14T22:49:02Z,master
jesseduffield/lazydocker,26540,Go,2019-05-18T08:53:50Z,master
slidevjs/slidev,26528,TypeScript,2021-04-24T01:25:23Z,main
SeleniumHQ/selenium,26516,Java,2013-01-14T21:40:56Z,master
ggerganov/llama.cpp,26452,C,2023-03-10T18:58:00Z,master
TheAlgorithms/JavaScript,26427,JavaScript,2017-07-13T06:12:33Z,master
hashicorp/consul,26378,Go,2013-11-04T22:15:27Z,main
cheeriojs/cheerio,26333,TypeScript,2011-10-09T04:23:20Z,main
gofiber/fiber,26162,Go,2020-01-16T03:59:20Z,master
JedWatson/react-select,26094,TypeScript,2014-08-26T04:27:45Z,master
The-Run-Philosophy-Organization/run,26082,Unknown,2022-04-10T05:42:40Z,main
angular/angular-cli,26071,TypeScript,2015-06-04T19:49:37Z,main
explosion/spaCy,26065,Python,2014-07-03T15:15:40Z,master
coolsnowwolf/lede,25886,C,2017-09-06T07:39:03Z,master
photoprism/photoprism,25867,Go,2018-01-27T12:00:15Z,master
codemirror/codemirror5,25865,JavaScript,2011-01-14T13:44:03Z,master
github/fetch,25710,JavaScript,2014-10-13T00:26:19Z,master
yuzu-emu/yuzu,25650,C++,2018-01-03T18:13:57Z,master
Automattic/mongoose,25643,JavaScript,2010-04-06T21:39:05Z,master
digitalocean/nginxconfig.io,25643,JavaScript,2018-01-05T14:21:14Z,master
pmndrs/react-spring,25634,TypeScript,2018-03-07T15:39:32Z,main
select2/select2,25598,JavaScript,2012-03-04T18:43:12Z,master
labstack/echo,25579,Go,2015-03-01T17:43:01Z,master
alibaba/spring-cloud-alibaba,25531,Java,2017-12-01T20:49:15Z,master
encode/django-rest-framework,25497,Python,2011-03-02T17:13:56Z,master
portainer/portainer,25444,Go,2016-05-19T20:15:28Z,master
influxdata/influxdb,25410,Go,2013-09-26T14:31:10Z,master
lapce/lapce,25397,Rust,2018-02-06T08:41:06Z,master
mattermost/mattermost-server,25345,TypeScript,2015-06-15T06:50:02Z,master
floating-ui/floating-ui,25333,TypeScript,2016-03-29T17:00:47Z,master
acheong08/ChatGPT,25330,Python,2022-12-03T14:35:24Z,main
alibaba/fastjson,25321,Java,2011-11-03T06:58:52Z,master
AMAI-GmbH/AI-Expert-Roadmap,25305,JavaScript,2020-10-24T21:49:40Z,main
immerjs/immer,25238,JavaScript,2017-12-29T12:25:47Z,main
veggiemonk/awesome-docker,25217,Unknown,2014-09-21T17:01:48Z,master
hashicorp/vagrant,25197,Ruby,2010-01-21T08:34:27Z,main
huggingface/pytorch-image-models,25139,Python,2019-02-02T05:51:12Z,main
go-kit/kit,24921,Go,2015-02-03T00:01:19Z,master
dwmkerr/hacker-laws,24776,Shell,2018-01-25T03:46:34Z,main
ycm-core/YouCompleteMe,24750,Python,2012-04-16T03:12:14Z,master
tqdm/tqdm,24719,Python,2015-06-03T13:13:14Z,master
SerenityOS/serenity,24715,C++,2018-12-02T19:28:41Z,master
tj/commander.js,24659,JavaScript,2011-08-14T21:33:58Z,master
streamlit/streamlit,24533,Python,2019-08-24T00:14:52Z,master
google/python-fire,24494,Python,2017-02-21T21:35:07Z,master
remoteintech/remote-jobs,24439,JavaScript,2015-10-13T03:49:25Z,main
DIYgod/RSSHub,24354,JavaScript,2018-04-02T14:43:21Z,master
TheAlgorithms/C-Plus-Plus,24319,C++,2016-07-16T10:19:45Z,master
microsoft/DeepSpeed,24266,Python,2020-01-23T18:35:18Z,master
helm/helm,24262,Go,2015-10-06T01:07:32Z,main
xuxueli/xxl-job,24240,Java,2015-11-28T12:59:34Z,master
kilimchoi/engineering-blogs,24178,Ruby,2015-06-13T18:25:17Z,master
airbnb/lottie-ios,23980,Swift,2016-10-06T22:38:38Z,master
